utc_timestamp,date_string,California_train,weather,feels_like,tweet,Damen_train,uber_surging,uber_eta,72_bus,52_bus
1453726801,2016-01-25 07:00,1,Overcast,27.6666666667 to 32.5,0,19,3,3,8,21
1453727702,2016-01-25 07:15,1,Overcast,27.6666666667 to 32.5,0,14,2,2,3,17
1453728603,2016-01-25 07:30,1,Overcast,27.6666666667 to 32.5,0,14,4,4,9,14
1453729504,2016-01-25 07:45,1,Overcast,27.6666666667 to 32.5,0,15,4,4,10,14
1453730401,2016-01-25 08:00,16,Overcast,27.6666666667 to 32.5,0,1,5,5,1,17
1453731302,2016-01-25 08:15,1,Overcast,27.6666666667 to 32.5,0,2,5,5,2,15
1453732203,2016-01-25 08:30,17,Overcast,32.5 to 37.3333333333,0,4,4,4,2,2
1453733104,2016-01-25 08:45,1,Overcast,32.5 to 37.3333333333,0,15,4,4,4,7
1453734001,2016-01-25 09:00,1,Mostly Cloudy,32.5 to 37.3333333333,0,3,4,4,5,7
1453734902,2016-01-25 09:15,3,Mostly Cloudy,32.5 to 37.3333333333,0,18,4,4,1,1
1453735803,2016-01-25 09:30,2,Mostly Cloudy,32.5 to 37.3333333333,0,18,7,7,8,16
1453736704,2016-01-25 09:45,2,Mostly Cloudy,32.5 to 37.3333333333,0,14,5,5,2,5
1453737601,2016-01-25 10:00,14,Overcast,32.5 to 37.3333333333,0,18,2,2,14,4
1453738502,2016-01-25 10:15,4,Overcast,32.5 to 37.3333333333,0,2,4,4,2,20
1453739403,2016-01-25 10:30,15,Overcast,37.3333333333 to 42.1666666667,0,6,5,5,6,18
1453740304,2016-01-25 10:45,14,Overcast,37.3333333333 to 42.1666666667,0,19,7,7,18,9
1453741201,2016-01-25 11:00,15,Overcast,37.3333333333 to 42.1666666667,0,13,5,5,1,13
1453742102,2016-01-25 11:15,1,Overcast,37.3333333333 to 42.1666666667,0,17,5,5,11,10
1453743003,2016-01-25 11:30,15,Overcast,37.3333333333 to 42.1666666667,0,7,4,4,19,13
1453743904,2016-01-25 11:45,2,Overcast,37.3333333333 to 42.1666666667,0,19,7,7,10,29
1453813202,2016-01-26 07:00,17,Overcast,22.8333333333 to 27.6666666667,0,17,4,4,5,5
1453814103,2016-01-26 07:15,1,Overcast,22.8333333333 to 27.6666666667,0,14,4,4,9,3
1453815004,2016-01-26 07:30,17,Overcast,22.8333333333 to 27.6666666667,0,2,4,4,8,8
1453815905,2016-01-26 07:45,1,Overcast,22.8333333333 to 27.6666666667,0,15,3,3,2,18
1453816801,2016-01-26 08:00,1,Overcast,22.8333333333 to 27.6666666667,0,1,3,3,5,14
1453817702,2016-01-26 08:15,1,Overcast,22.8333333333 to 27.6666666667,0,1,3,3,6,16
1453818603,2016-01-26 08:30,15,Overcast,18.0 to 22.8333333333,0,2,3,3,8,6
1453819504,2016-01-26 08:45,15,Overcast,18.0 to 22.8333333333,0,17,2,2,8,11
1453820401,2016-01-26 09:00,2,Overcast,18.0 to 22.8333333333,0,1,6,6,9,11
1453821302,2016-01-26 09:15,1,Overcast,18.0 to 22.8333333333,0,16,6,6,9,15
1453822203,2016-01-26 09:30,18,Overcast,18.0 to 22.8333333333,0,18,6,6,12,17
1453823104,2016-01-26 09:45,14,Overcast,18.0 to 22.8333333333,0,19,11,11,6,19
1453824003,2016-01-26 10:00,15,Overcast,18.0 to 22.8333333333,0,19,3,3,11,5
1453824904,2016-01-26 10:15,19,Overcast,18.0 to 22.8333333333,0,12,4,4,12,21
1453825805,2016-01-26 10:30,2,Overcast,18.0 to 22.8333333333,0,19,4,4,10,20
1453826706,2016-01-26 10:45,16,Overcast,18.0 to 22.8333333333,0,13,5,5,18,8
1453827601,2016-01-26 11:00,16,Overcast,18.0 to 22.8333333333,0,12,5,5,13,12
1453828502,2016-01-26 11:15,19,Overcast,18.0 to 22.8333333333,0,15,5,5,9,24
1453829403,2016-01-26 11:30,15,Overcast,18.0 to 22.8333333333,0,12,5,5,18,12
1453830304,2016-01-26 11:45,11,Overcast,18.0 to 22.8333333333,0,1,5,5,12,27
1453899601,2016-01-27 07:00,18,Overcast,27.6666666667 to 32.5,0,2,6,6,2,10
1453900502,2016-01-27 07:15,14,Overcast,27.6666666667 to 32.5,0,15,6,6,5,17
1453901403,2016-01-27 07:30,17,Overcast,18,0,14,5,5,7,11
1453902304,2016-01-27 07:45,14,Overcast,18,0,16,2,2,9,1
1453903202,2016-01-27 08:00,1,Overcast,18,0,1,2,2,5,13
1453904103,2016-01-27 08:15,15,Overcast,18,0,2,3,3,5,15
1453905004,2016-01-27 08:30,15,Overcast,18.0 to 22.8333333333,0,1,3,3,4,2
1453905905,2016-01-27 08:45,1,Overcast,18.0 to 22.8333333333,0,13,7,7,4,4
1453906801,2016-01-27 09:00,17,Overcast,18.0 to 22.8333333333,0,11,5,5,6,20
1453907702,2016-01-27 09:15,1,Overcast,18.0 to 22.8333333333,0,16,11,11,5,9
1453908603,2016-01-27 09:30,12,Overcast,22.8333333333 to 27.6666666667,0,2,11,11,7,9
1453909504,2016-01-27 09:45,15,Overcast,22.8333333333 to 27.6666666667,0,12,4,4,2,21
1453910401,2016-01-27 10:00,14,Overcast,22.8333333333 to 27.6666666667,0,1,5,5,2,4
1453911302,2016-01-27 10:15,19,Overcast,22.8333333333 to 27.6666666667,0,15,5,5,17,8
1453912203,2016-01-27 10:30,15,Overcast,18.0 to 22.8333333333,0,11,6,6,5,22
1453913104,2016-01-27 10:45,1,Overcast,18.0 to 22.8333333333,0,19,6,6,20,10
1453914001,2016-01-27 11:00,16,Overcast,18.0 to 22.8333333333,0,11,4,4,10,13
1453914902,2016-01-27 11:15,12,Overcast,18.0 to 22.8333333333,0,18,4,4,5,23
1453915803,2016-01-27 11:30,2,Overcast,22.8333333333 to 27.6666666667,0,13,5,5,20,11
1453916704,2016-01-27 11:45,5,Overcast,22.8333333333 to 27.6666666667,0,14,5,5,11,15
1453986001,2016-01-28 07:00,16,Clear,32.5 to 37.3333333333,0,1,10,10,6,7
1453986902,2016-01-28 07:15,16,Clear,32.5 to 37.3333333333,0,2,10,10,2,17
1453987803,2016-01-28 07:30,16,Clear,27.6666666667 to 32.5,0,1,5,5,4,14
1453988704,2016-01-28 07:45,15,Clear,27.6666666667 to 32.5,0,15,7,7,1,17
1453989601,2016-01-28 08:00,15,Clear,27.6666666667 to 32.5,0,13,9,9,1,15
1453990502,2016-01-28 08:15,1,Clear,27.6666666667 to 32.5,0,2,3,3,9,16
1453991403,2016-01-28 08:30,1,Clear,22.8333333333 to 27.6666666667,0,2,3,3,1,9
1453992304,2016-01-28 08:45,15,Clear,22.8333333333 to 27.6666666667,0,1,4,4,6,14
1453993201,2016-01-28 09:00,1,Partly Cloudy,22.8333333333 to 27.6666666667,0,3,6,6,8,12
1453994102,2016-01-28 09:15,1,Partly Cloudy,22.8333333333 to 27.6666666667,0,14,6,6,7,4
1453995003,2016-01-28 09:30,1,Partly Cloudy,27.6666666667 to 32.5,0,15,7,7,7,20
1453995904,2016-01-28 09:45,15,Partly Cloudy,27.6666666667 to 32.5,0,19,7,7,5,4
1453996801,2016-01-28 10:00,15,Mostly Cloudy,27.6666666667 to 32.5,0,2,7,7,11,8
1453997702,2016-01-28 10:15,11,Mostly Cloudy,27.6666666667 to 32.5,0,16,5,5,13,24
1453998603,2016-01-28 10:30,15,Mostly Cloudy,27.6666666667 to 32.5,0,12,5,5,8,20
1453999504,2016-01-28 10:45,4,Mostly Cloudy,27.6666666667 to 32.5,0,16,3,3,20,21
1454000401,2016-01-28 11:00,16,Overcast,27.6666666667 to 32.5,0,7,7,7,11,23
1454001302,2016-01-28 11:15,19,Overcast,27.6666666667 to 32.5,0,17,7,7,13,20
1454002203,2016-01-28 11:30,15,Overcast,32.5 to 37.3333333333,0,4,7,7,20,25
1454003104,2016-01-28 11:45,12,Overcast,32.5 to 37.3333333333,0,1,4,4,15,14
1454072403,2016-01-29 07:00,17,Partly Cloudy,22.8333333333 to 27.6666666667,0,1,3,3,17,6
1454073304,2016-01-29 07:15,2,Partly Cloudy,22.8333333333 to 27.6666666667,0,16,3,3,5,3
1454074205,2016-01-29 07:30,14,Partly Cloudy,18.0 to 22.8333333333,0,13,6,6,5,14
1454075106,2016-01-29 07:45,14,Partly Cloudy,18.0 to 22.8333333333,0,16,6,6,9,14
1454076001,2016-01-29 08:00,16,Partly Cloudy,18.0 to 22.8333333333,0,3,3,3,4,2
1454076902,2016-01-29 08:15,16,Partly Cloudy,18.0 to 22.8333333333,0,2,3,3,4,10
1454077803,2016-01-29 08:30,16,Partly Cloudy,18.0 to 22.8333333333,0,2,3,3,8,10
1454078704,2016-01-29 08:45,15,Partly Cloudy,18.0 to 22.8333333333,0,2,3,3,5,12
1454079601,2016-01-29 09:00,2,Partly Cloudy,18.0 to 22.8333333333,0,15,11,11,6,11
1454080502,2016-01-29 09:15,1,Partly Cloudy,18.0 to 22.8333333333,0,1,11,11,5,5
1454081403,2016-01-29 09:30,15,Partly Cloudy,18.0 to 22.8333333333,0,12,11,11,8,9
1454082304,2016-01-29 09:45,15,Partly Cloudy,18.0 to 22.8333333333,0,11,11,11,5,20
1454083201,2016-01-29 10:00,16,Partly Cloudy,18.0 to 22.8333333333,0,12,4,4,11,20
1454084102,2016-01-29 10:15,11,Partly Cloudy,18.0 to 22.8333333333,0,16,5,5,11,15
1454085003,2016-01-29 10:30,15,Partly Cloudy,32.5 to 37.3333333333,0,11,8,8,5,22
1454085904,2016-01-29 10:45,13,Partly Cloudy,32.5 to 37.3333333333,0,18,4,4,5,10
1454086801,2016-01-29 11:00,19,Partly Cloudy,32.5 to 37.3333333333,0,12,4,4,1,22
1454087702,2016-01-29 11:15,15,Partly Cloudy,32.5 to 37.3333333333,0,5,4,4,5,21
1454088603,2016-01-29 11:30,13,Partly Cloudy,32.5 to 37.3333333333,0,2,4,4,7,8
1454089504,2016-01-29 11:45,19,Partly Cloudy,32.5 to 37.3333333333,0,12,4,4,13,14
1454158801,2016-01-30 07:00,11,Mostly Cloudy,32.5 to 37.3333333333,0,19,4,4,2,22
1454159702,2016-01-30 07:15,3,Mostly Cloudy,32.5 to 37.3333333333,0,16,4,4,16,10
1454160603,2016-01-30 07:30,4,Mostly Cloudy,32.5 to 37.3333333333,1,17,5,5,17,28
1454161504,2016-01-30 07:45,1,Mostly Cloudy,32.5 to 37.3333333333,1,5,5,5,13,18
1454162401,2016-01-30 08:00,4,Mostly Cloudy,32.5 to 37.3333333333,1,17,5,5,31,26
1454163302,2016-01-30 08:15,13,Mostly Cloudy,32.5 to 37.3333333333,1,18,4,4,1,13
1454164203,2016-01-30 08:30,17,Mostly Cloudy,32.5 to 37.3333333333,1,17,4,4,2,15
1454165104,2016-01-30 08:45,15,Mostly Cloudy,32.5 to 37.3333333333,1,14,4,4,13,17
1454166001,2016-01-30 09:00,2,Mostly Cloudy,32.5 to 37.3333333333,1,17,4,4,7,23
1454166902,2016-01-30 09:15,15,Mostly Cloudy,32.5 to 37.3333333333,1,13,4,4,8,23
1454167803,2016-01-30 09:30,2,Mostly Cloudy,32.5 to 37.3333333333,1,18,5,5,4,11
1454168704,2016-01-30 09:45,17,Mostly Cloudy,32.5 to 37.3333333333,1,14,5,5,17,11
1454169601,2016-01-30 10:00,18,Mostly Cloudy,32.5 to 37.3333333333,1,17,3,3,16,16
1454170502,2016-01-30 10:15,1,Mostly Cloudy,32.5 to 37.3333333333,1,13,3,3,3,3
1454171403,2016-01-30 10:30,14,Mostly Cloudy,37.3333333333 to 42.1666666667,1,4,3,3,5,15
1454172304,2016-01-30 10:45,15,Mostly Cloudy,37.3333333333 to 42.1666666667,1,15,4,4,15,20
1454173201,2016-01-30 11:00,18,Overcast,37.3333333333 to 42.1666666667,1,17,4,4,14,20
1454174102,2016-01-30 11:15,14,Overcast,37.3333333333 to 42.1666666667,1,2,4,4,3,17
1454175003,2016-01-30 11:30,18,Overcast,37.3333333333 to 42.1666666667,1,3,3,3,3,22
1454175904,2016-01-30 11:45,15,Overcast,37.3333333333 to 42.1666666667,1,13,3,3,8,22
1454245201,2016-01-31 07:00,19,Overcast,37.3333333333 to 42.1666666667,0,23,4,4,12,23
1454246102,2016-01-31 07:15,3,Overcast,37.3333333333 to 42.1666666667,0,20,4,4,28,23
1454247003,2016-01-31 07:30,12,Overcast,42.1666666667 to 47.0,0,17,2,2,19,30
1454247904,2016-01-31 07:45,5,Overcast,42.1666666667 to 47.0,0,14,2,2,8,23
1454248801,2016-01-31 08:00,1,Overcast,42.1666666667 to 47.0,0,26,4,4,12,10
1454249702,2016-01-31 08:15,1,Overcast,42.1666666667 to 47.0,0,19,7,7,30,31
1454250603,2016-01-31 08:30,14,Overcast,42.1666666667 to 47.0,0,19,6,6,18,20
1454251504,2016-01-31 08:45,2,Overcast,42.1666666667 to 47.0,0,11,6,6,23,6
1454252401,2016-01-31 09:00,10,Overcast,42.1666666667 to 47.0,0,15,6,6,9,15
1454253302,2016-01-31 09:15,18,Overcast,42.1666666667 to 47.0,0,12,4,4,26,20
1454254203,2016-01-31 09:30,13,Overcast,47,0,17,4,4,16,25
1454255104,2016-01-31 09:45,14,Overcast,47,0,18,4,4,14,12
1454256001,2016-01-31 10:00,13,Overcast,47,0,2,4,4,16,16
1454256902,2016-01-31 10:15,12,Overcast,47,0,17,3,3,16,23
1454257803,2016-01-31 10:30,12,Overcast,42.1666666667 to 47.0,0,17,8,8,7,12
1454258704,2016-01-31 10:45,4,Overcast,42.1666666667 to 47.0,0,17,4,4,16,18
1454259601,2016-01-31 11:00,4,Overcast,42.1666666667 to 47.0,0,16,4,4,16,22
1454260502,2016-01-31 11:15,19,Overcast,42.1666666667 to 47.0,0,17,4,4,14,22
1454261403,2016-01-31 11:30,16,Overcast,47,0,17,4,4,12,12
1454262304,2016-01-31 11:45,1,Overcast,47,0,14,4,4,16,16
1454331601,2016-02-01 07:00,3,Mostly Cloudy,27.6666666667 to 32.5,1,3,10,10,17,7
1454332502,2016-02-01 07:15,14,Mostly Cloudy,27.6666666667 to 32.5,1,13,6,6,4,2
1454333403,2016-02-01 07:30,17,Mostly Cloudy,27.6666666667 to 32.5,1,17,6,6,8,4
1454334304,2016-02-01 07:45,14,Mostly Cloudy,27.6666666667 to 32.5,1,14,5,5,2,6
1454335201,2016-02-01 08:00,2,Mostly Cloudy,27.6666666667 to 32.5,1,15,5,5,5,16
1454336102,2016-02-01 08:15,19,Mostly Cloudy,27.6666666667 to 32.5,1,6,5,5,8,10
1454337003,2016-02-01 08:30,2,Mostly Cloudy,27.6666666667 to 32.5,1,1,7,7,3,1
1454337904,2016-02-01 08:45,15,Mostly Cloudy,27.6666666667 to 32.5,1,4,7,7,6,13
1454338801,2016-02-01 09:00,15,Mostly Cloudy,27.6666666667 to 32.5,1,16,7,7,9,13
1454339702,2016-02-01 09:15,18,Mostly Cloudy,27.6666666667 to 32.5,1,15,6,6,2,4
1454340603,2016-02-01 09:30,1,Mostly Cloudy,32.5 to 37.3333333333,1,13,6,6,10,21
1454341504,2016-02-01 09:45,2,Mostly Cloudy,32.5 to 37.3333333333,1,18,6,6,1,22
1454342401,2016-02-01 10:00,2,Mostly Cloudy,32.5 to 37.3333333333,1,18,5,5,13,6
1454343302,2016-02-01 10:15,19,Mostly Cloudy,32.5 to 37.3333333333,1,13,5,5,13,20
1454344203,2016-02-01 10:30,12,Mostly Cloudy,32.5 to 37.3333333333,1,16,7,7,24,20
1454345104,2016-02-01 10:45,1,Mostly Cloudy,32.5 to 37.3333333333,1,16,7,7,17,12
1454346001,2016-02-01 11:00,2,Mostly Cloudy,32.5 to 37.3333333333,1,19,7,7,5,22
1454346902,2016-02-01 11:15,15,Mostly Cloudy,32.5 to 37.3333333333,1,13,6,6,13,13
1454347803,2016-02-01 11:30,15,Mostly Cloudy,37.3333333333 to 42.1666666667,1,13,6,6,18,23
1454348704,2016-02-01 11:45,12,Mostly Cloudy,37.3333333333 to 42.1666666667,1,17,6,6,15,12